Location_ID,State,SA4_Name,LGA_Name,Remoteness_Category
412,NSW,Mid North Coast,Nambucca Valley,Outer Regional Australia
413,Qld,Moreton Bay - North,Somerset,Outer Regional Australia
414,NSW,Central West,Lachlan,Remote Australia
415,NSW,New England and North West,Gwydir,Outer Regional Australia
416,SA,Adelaide - North,Port Adelaide Enfield,Major Cities of Australia
417,Vic,Bendigo,Macedon Ranges,Inner Regional Australia
418,Vic,Melbourne - North East,Banyule,Major Cities of Australia
419,NSW,Central West,Lithgow,Outer Regional Australia
420,NSW,Murray,Federation,Inner Regional Australia
421,NSW,Riverina,Wagga Wagga,Outer Regional Australia
422,NSW,Far West and Orana,Coonamble,Remote Australia
423,NSW,Mid North Coast,Kempsey,Inner Regional Australia
424,NSW,Riverina,Carrathool,Outer Regional Australia
425,Qld,Queensland - Outback,Barcoo,Very Remote Australia
426,Qld,Queensland - Outback,Mareeba,Outer Regional Australia
427,Vic,Melbourne - West,Hobsons Bay,Major Cities of Australia
428,NSW,Riverina,Temora,Outer Regional Australia
429,SA,South Australia - South East,Karoonda East Murray,Outer Regional Australia
430,Qld,Central Queensland,Livingstone,Inner Regional Australia
431,Vic,Latrobe - Gippsland,Unincorporated Vic,Outer Regional Australia
432,Vic,North West,Gannawarra,Outer Regional Australia
433,NSW,Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia
434,SA,South Australia - Outback,Ceduna,Very Remote Australia
435,NSW,Sydney - Ryde,Parramatta,Major Cities of Australia
436,Qld,Mackay - Isaac - Whitsunday,Whitsunday,Remote Australia
437,NSW,Illawarra,Shellharbour,Inner Regional Australia
438,NT,Darwin,Darwin,Outer Regional Australia
439,Vic,Latrobe - Gippsland,Baw Baw,Outer Regional Australia
440,NT,Northern Territory - Outback,Central Desert,Very Remote Australia
441,NSW,Sydney - Outer South West,Sutherland,Inner Regional Australia
442,NSW,Mid North Coast,Kempsey,Outer Regional Australia
443,Qld,Queensland - Outback,Carpentaria,Very Remote Australia
444,Vic,Unknown,Unknown,Unknown
445,SA,South Australia - Outback,Wudinna,Very Remote Australia
446,Qld,Queensland - Outback,Murweh,Very Remote Australia
447,NSW,Capital Region,Eurobodalla,Outer Regional Australia
448,SA,South Australia - South East,Renmark Paringa,Outer Regional Australia
449,SA,South Australia - South East,Loxton Waikerie,Outer Regional Australia
450,Tas,West and North West,Central Coast (Tas.),Outer Regional Australia
451,NSW,Murray,Berrigan,Outer Regional Australia
452,SA,Adelaide - Central and Hills,Norwood Payneham and St Peters,Major Cities of Australia
453,Tas,Hobart,Sorell,Outer Regional Australia
454,NSW,Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia
455,NSW,Capital Region,Yass Valley,Major Cities of Australia
456,NT,Northern Territory - Outback,MacDonnell,Very Remote Australia
457,NSW,Riverina,Leeton,Outer Regional Australia
458,NSW,Murray,Balranald,Remote Australia
459,Qld,Gold Coast,Scenic Rim,Inner Regional Australia
460,NSW,Mid North Coast,Port Macquarie-Hastings,Outer Regional Australia
461,Tas,South East,Kingborough,Outer Regional Australia
462,Vic,Melbourne - Inner,Moreland,Major Cities of Australia
463,SA,Barossa - Yorke - Mid North,Copper Coast,Outer Regional Australia
464,NSW,Riverina,Lockhart,Inner Regional Australia
465,SA,South Australia - South East,Naracoorte Lucindale,Outer Regional Australia
466,SA,South Australia - South East,Southern Mallee,Remote Australia
467,NSW,New England and North West,Glen Innes Severn,Inner Regional Australia
468,NSW,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Inner Regional Australia
469,Tas,West and North West,Kentish,Outer Regional Australia
470,SA,Barossa - Yorke - Mid North,Goyder,Inner Regional Australia
471,Vic,Melbourne - North West,Brimbank,Major Cities of Australia
472,SA,South Australia - Outback,Flinders Ranges,Outer Regional Australia
473,ACT,Unknown,Unknown,Unknown
474,Vic,Geelong,Greater Geelong,Inner Regional Australia
475,Vic,Bendigo,Loddon,Inner Regional Australia
476,Vic,Latrobe - Gippsland,Wellington,Outer Regional Australia
477,NSW,Riverina,Junee,Inner Regional Australia
478,SA,South Australia - South East,Victor Harbor,Inner Regional Australia
479,SA,Adelaide - Central and Hills,Burnside,Major Cities of Australia
480,NT,Northern Territory - Outback,Coomalie,Remote Australia
481,Vic,Melbourne - Outer East,Manningham,Major Cities of Australia
482,Vic,Warrnambool and South West,Corangamite,Outer Regional Australia
483,SA,Barossa - Yorke - Mid North,Wakefield,Inner Regional Australia
484,WA,Unknown,Unknown,Inner Regional Australia
485,WA,Unknown,Unknown,Outer Regional Australia
486,WA,Unknown,Unknown,Major Cities of Australia
487,WA,Unknown,Unknown,Very Remote Australia
488,NSW,Sydney - North Sydney and Hornsby,Mosman,Major Cities of Australia
489,Tas,South East,Glamorgan-Spring Bay,Outer Regional Australia
490,NSW,Sydney - Outer West and Blue Mountains,Hawkesbury,Major Cities of Australia
491,NSW,Sydney - Outer West and Blue Mountains,Penrith,Inner Regional Australia
492,WA,Unknown,Unknown,Remote Australia
493,Vic,Melbourne - North East,Murrindindi,Inner Regional Australia
494,Tas,South East,Southern Midlands,Outer Regional Australia
495,Qld,Logan - Beaudesert,Scenic Rim,Outer Regional Australia
496,Vic,Bendigo,Mount Alexander,Inner Regional Australia
497,NSW,Sydney - North Sydney and Hornsby,North Sydney,Major Cities of Australia
498,Qld,Darling Downs - Maranoa,Western Downs,Inner Regional Australia
499,NSW,Sydney - Eastern Suburbs,Woollahra,Major Cities of Australia
500,SA,Adelaide - Central and Hills,Prospect,Major Cities of Australia
501,WA,Unknown,Unknown,Unknown
502,NT,Unknown,Unknown,Unknown
503,NT,Northern Territory - Outback,Katherine,Remote Australia
504,Qld,Queensland - Outback,Mareeba,Remote Australia
505,Vic,North West,Mildura,Remote Australia
506,Qld,Queensland - Outback,Northern Peninsula Area,Very Remote Australia
507,Vic,Melbourne - North East,Mitchell,Major Cities of Australia
508,NSW,Sydney - Outer South West,Wingecarribee,Inner Regional Australia
509,NSW,Richmond - Tweed,Kyogle,Outer Regional Australia
510,NSW,Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia
511,NT,Darwin,Unincorporated NT,Outer Regional Australia
512,SA,Barossa - Yorke - Mid North,Orroroo Carrieton,Outer Regional Australia
513,Vic,Ballarat,Central Goldfields,Inner Regional Australia
514,NT,Northern Territory - Outback,Unincorporated NT,Remote Australia
515,NSW,Far West and Orana,Central Darling,Very Remote Australia
516,Qld,Darling Downs - Maranoa,Balonne,Remote Australia
517,Tas,Hobart,Kingborough,Inner Regional Australia
518,Qld,Darling Downs - Maranoa,Maranoa,Very Remote Australia
519,NSW,Far West and Orana,Walgett,Remote Australia
520,NSW,Riverina,Coolamon,Outer Regional Australia
521,Qld,Queensland - Outback,Bulloo,Very Remote Australia
522,NSW,Coffs Harbour - Grafton,Bellingen,Outer Regional Australia
523,NSW,Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia
524,NSW,New England and North West,Walcha,Outer Regional Australia
525,Vic,North West,Northern Grampians,Inner Regional Australia
526,NSW,Far West and Orana,Bogan,Very Remote Australia
527,NSW,Sydney - Baulkham Hills and Hawkesbury,The Hills,Inner Regional Australia
528,Vic,Latrobe - Gippsland,South Gippsland,Outer Regional Australia
529,NSW,Illawarra,Wollondilly,Inner Regional Australia
530,SA,South Australia - Outback,Cleve,Remote Australia
531,NT,Northern Territory - Outback,West Arnhem,Remote Australia
532,NSW,Murray,Wentworth,Outer Regional Australia
533,NSW,Sydney - Parramatta,Canterbury-Bankstown,Major Cities of Australia
534,Tas,West and North West,King Island,Very Remote Australia
535,SA,South Australia - South East,Kangaroo Island,Remote Australia
536,Tas,Launceston and North East,Meander Valley,Inner Regional Australia
537,NSW,New England and North West,Uralla,Inner Regional Australia
538,SA,Adelaide - South,Holdfast Bay,Major Cities of Australia
539,Qld,Cairns,Douglas,Remote Australia
540,NSW,Riverina,Carrathool,Remote Australia
541,NSW,Far West and Orana,Bogan,Remote Australia
542,NSW,Far West and Orana,Brewarrina,Very Remote Australia
543,NSW,Sydney - Outer West and Blue Mountains,Wollondilly,Inner Regional Australia
544,NT,Northern Territory - Outback,East Arnhem,Very Remote Australia
545,SA,South Australia - Outback,Port Lincoln,Remote Australia
546,SA,Adelaide - North,Light,Inner Regional Australia
547,NSW,Sydney - South West,Camden,Major Cities of Australia
548,NSW,Capital Region,Queanbeyan-Palerang Regional,Outer Regional Australia
549,Qld,Queensland - Outback,Longreach,Very Remote Australia
550,NSW,Newcastle and Lake Macquarie,Maitland,Major Cities of Australia
551,Vic,Warrnambool and South West,Colac Otway,Outer Regional Australia
552,SA,South Australia - Outback,Lower Eyre Peninsula,Remote Australia
553,NT,Northern Territory - Outback,MacDonnell,Remote Australia
554,WA,Western Australia - Wheat Belt,Dandaragan,Outer Regional Australia
555,WA,Western Australia - Wheat Belt,York,Inner Regional Australia
556,WA,Perth - South West,Rockingham,Major Cities of Australia
557,WA,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia
558,WA,Perth - South West,Kwinana,Major Cities of Australia
559,WA,Mandurah,Murray,Inner Regional Australia
560,WA,Western Australia - Wheat Belt,Dumbleyung,Remote Australia
561,WA,Western Australia - Outback (North),Port Hedland,Remote Australia
562,NSW,Riverina,Coolamon,Inner Regional Australia
563,WA,Perth - North West,Stirling,Major Cities of Australia
564,SA,South Australia - South East,Robe,Outer Regional Australia
565,WA,Perth - Inner,Cambridge,Major Cities of Australia
566,WA,Perth - North East,Swan,Major Cities of Australia
567,WA,Perth - North West,Wanneroo,Major Cities of Australia
568,Qld,Moreton Bay - North,Somerset,Inner Regional Australia
569,WA,Perth - South East,Canning,Major Cities of Australia
570,NSW,Richmond - Tweed,Richmond Valley,Outer Regional Australia
571,WA,Perth - South East,Gosnells,Major Cities of Australia
572,NSW,Sydney - Ryde,The Hills,Major Cities of Australia
573,WA,Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia
574,WA,Mandurah,Mandurah,Major Cities of Australia
575,SA,South Australia - South East,Southern Mallee,Outer Regional Australia
576,WA,Western Australia - Wheat Belt,Woodanilling,Outer Regional Australia
577,NSW,Central West,Warrumbungle,Outer Regional Australia
578,WA,Western Australia - Wheat Belt,Dowerin,Outer Regional Australia
579,WA,Western Australia - Outback (South),Kalgoorlie-Boulder,Outer Regional Australia
580,WA,Western Australia - Outback (South),Greater Geraldton,Outer Regional Australia
581,WA,Bunbury,Harvey,Inner Regional Australia
582,WA,Perth - South East,Serpentine-Jarrahdale,Inner Regional Australia
583,WA,Perth - North East,Bayswater,Major Cities of Australia
584,Qld,Queensland - Outback,Doomadgee,Very Remote Australia
585,Qld,Queensland - Outback,Croydon,Very Remote Australia
586,NT,Northern Territory - Outback,West Arnhem,Very Remote Australia
587,WA,Western Australia - Wheat Belt,Albany,Outer Regional Australia
588,Tas,South East,Central Highlands (Tas.),Outer Regional Australia
589,NSW,Riverina,Lockhart,Outer Regional Australia
590,WA,Western Australia - Wheat Belt,Chittering,Inner Regional Australia
591,WA,Western Australia - Outback (South),Perenjori,Remote Australia
592,WA,Western Australia - Outback (South),Mount Magnet,Very Remote Australia
593,WA,Bunbury,Donnybrook-Balingup,Inner Regional Australia
594,NSW,Far West and Orana,Cobar,Remote Australia
595,Qld,Queensland - Outback,Hope Vale,Remote Australia
596,WA,Bunbury,Augusta Margaret River,Outer Regional Australia
597,WA,Perth - Inner,Vincent,Major Cities of Australia
598,WA,Western Australia - Wheat Belt,Wickepin,Outer Regional Australia
599,SA,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Inner Regional Australia
600,Vic,Hume,Wangaratta,Outer Regional Australia
601,Vic,Melbourne - North West,Melton,Major Cities of Australia
602,WA,Perth - South West,Cockburn,Major Cities of Australia
603,WA,Western Australia - Outback (South),Kalgoorlie-Boulder,Very Remote Australia
604,WA,Perth - South East,Victoria Park,Major Cities of Australia
605,WA,Perth - South East,Armadale,Major Cities of Australia
606,WA,Bunbury,Bunbury,Inner Regional Australia
607,WA,Perth - South East,Kalamunda,Major Cities of Australia
608,WA,Western Australia - Wheat Belt,Gingin,Inner Regional Australia
609,WA,Western Australia - Wheat Belt,Moora,Remote Australia
610,WA,Perth - Inner,Perth,Major Cities of Australia
611,WA,Bunbury,Busselton,Inner Regional Australia
612,WA,Western Australia - Wheat Belt,Williams,Outer Regional Australia
613,WA,Bunbury,Augusta Margaret River,Inner Regional Australia
614,Tas,South East,Derwent Valley,Outer Regional Australia
615,Qld,Queensland - Outback,Quilpie,Very Remote Australia
616,WA,Western Australia - Wheat Belt,Kojonup,Outer Regional Australia
617,WA,Western Australia - Wheat Belt,Mount Marshall,Remote Australia
618,SA,South Australia - South East,Kingston (SA),Outer Regional Australia
619,WA,Western Australia - Outback (North),Karratha,Remote Australia
620,SA,South Australia - Outback,Elliston,Very Remote Australia
621,WA,Western Australia - Outback (South),Coolgardie,Very Remote Australia
622,WA,Western Australia - Outback (North),Port Hedland,Very Remote Australia
623,Qld,Cairns,Tablelands,Remote Australia
624,Vic,Melbourne - Inner South,Monash,Major Cities of Australia
625,WA,Western Australia - Outback (North),Derby-West Kimberley,Very Remote Australia
626,WA,Perth - North East,Mundaring,Inner Regional Australia
627,SA,Adelaide - North,Light,Major Cities of Australia
628,WA,Perth - South East,Belmont,Major Cities of Australia
629,WA,Western Australia - Wheat Belt,Nungarin,Remote Australia
630,Vic,Melbourne - Inner South,Bayside (Vic.),Major Cities of Australia
631,WA,Western Australia - Wheat Belt,Northam,Inner Regional Australia
632,WA,Perth - South West,Melville,Major Cities of Australia
633,WA,Perth - North East,Bassendean,Major Cities of Australia
634,WA,Western Australia - Wheat Belt,Yilgarn,Remote Australia
635,WA,Western Australia - Outback (North),Broome,Very Remote Australia
636,WA,Western Australia - Outback (South),Chapman Valley,Remote Australia
637,NSW,New England and North West,Uralla,Outer Regional Australia
638,WA,Western Australia - Wheat Belt,Broomehill-Tambellup,Outer Regional Australia
639,WA,Western Australia - Outback (South),Meekatharra,Very Remote Australia
640,WA,Western Australia - Outback (South),Esperance,Remote Australia
641,Qld,Moreton Bay - North,Sunshine Coast,Inner Regional Australia
642,WA,Bunbury,Capel,Inner Regional Australia
643,WA,Western Australia - Outback (South),Dundas,Very Remote Australia
644,NSW,Riverina,Federation,Outer Regional Australia
645,Vic,Hume,Towong,Inner Regional Australia
646,WA,Western Australia - Wheat Belt,Lake Grace,Very Remote Australia
647,WA,Bunbury,Dardanup,Inner Regional Australia
648,WA,Western Australia - Wheat Belt,Kondinin,Very Remote Australia
649,WA,Western Australia - Wheat Belt,Kent,Remote Australia
650,NSW,Sydney - Inner West,Canada Bay,Major Cities of Australia
651,WA,Western Australia - Wheat Belt,Wagin,Outer Regional Australia
652,WA,Bunbury,Manjimup,Outer Regional Australia
653,NSW,Sydney - Parramatta,Fairfield,Major Cities of Australia
654,WA,Mandurah,Murray,Major Cities of Australia
655,WA,Western Australia - Wheat Belt,Denmark,Outer Regional Australia
656,NSW,Hunter Valley exc Newcastle,Singleton,Outer Regional Australia
657,Qld,Central Queensland,Banana,Remote Australia
658,WA,Western Australia - Wheat Belt,Boddington,Inner Regional Australia
659,WA,Western Australia - Wheat Belt,Bruce Rock,Remote Australia
660,WA,Perth - North East,Swan,Inner Regional Australia
661,WA,Western Australia - Wheat Belt,Kulin,Remote Australia
662,WA,Western Australia - Wheat Belt,Cuballing,Outer Regional Australia
663,NSW,Hunter Valley exc Newcastle,Dungog,Outer Regional Australia
664,WA,Western Australia - Outback (South),Carnarvon,Very Remote Australia
665,Vic,North West,Hindmarsh,Outer Regional Australia
666,WA,Western Australia - Outback (North),Wyndham-East Kimberley,Very Remote Australia
667,WA,Western Australia - Wheat Belt,Beverley,Outer Regional Australia
668,WA,Western Australia - Outback (South),Ravensthorpe,Very Remote Australia
669,WA,Perth - North West,Joondalup,Major Cities of Australia
670,Qld,Queensland - Outback,Mount Isa,Very Remote Australia
671,Vic,Melbourne - West,Moorabool,Major Cities of Australia
672,SA,South Australia - Outback,Coober Pedy,Very Remote Australia
673,Qld,Central Queensland,Central Highlands (Qld),Very Remote Australia
674,WA,Western Australia - Wheat Belt,Dalwallinu,Remote Australia
675,WA,Western Australia - Wheat Belt,Gnowangerup,Remote Australia
676,NSW,Riverina,Junee,Outer Regional Australia
677,Vic,Ballarat,Loddon,Inner Regional Australia
678,Tas,Unknown,Unknown,Unknown
679,NSW,Capital Region,Goulburn Mulwaree,Outer Regional Australia
680,SA,Barossa - Yorke - Mid North,Goyder,Outer Regional Australia
681,WA,Western Australia - Wheat Belt,Wongan-Ballidu,Remote Australia
682,WA,Bunbury,Collie,Inner Regional Australia
683,WA,Perth - South East,Armadale,Inner Regional Australia
684,NSW,Riverina,Cootamundra-Gundagai,Outer Regional Australia
685,WA,Perth - North West,Wanneroo,Inner Regional Australia
686,WA,Western Australia - Outback (North),East Pilbara,Very Remote Australia
687,WA,Western Australia - Outback (South),Menzies,Very Remote Australia
688,WA,Western Australia - Outback (North),Halls Creek,Very Remote Australia
689,WA,Western Australia - Outback (South),Irwin,Outer Regional Australia
690,NSW,Far West and Orana,Walgett,Very Remote Australia
691,Qld,Cairns,Yarrabah,Outer Regional Australia
692,WA,Western Australia - Wheat Belt,Pingelly,Outer Regional Australia
693,NSW,New England and North West,Narrabri,Remote Australia
694,WA,Western Australia - Outback (North),Broome,Remote Australia
695,WA,Western Australia - Wheat Belt,Kondinin,Remote Australia
696,WA,Western Australia - Outback (South),Cue,Very Remote Australia
697,NSW,Murray,Hay,Outer Regional Australia
698,NSW,Sydney - Outer South West,Wollondilly,Major Cities of Australia
699,Qld,Wide Bay,Fraser Coast,Remote Australia
700,WA,Western Australia - Wheat Belt,Quairading,Outer Regional Australia
701,NSW,Sydney - City and Inner South,Randwick,Major Cities of Australia
702,WA,Perth - North East,Mundaring,Major Cities of Australia
703,Qld,Queensland - Outback,Mornington,Very Remote Australia
704,WA,Western Australia - Wheat Belt,Wandering,Outer Regional Australia
705,WA,Bunbury,Nannup,Outer Regional Australia
706,NSW,Far West and Orana,Broken Hill,Outer Regional Australia
707,WA,Western Australia - Outback (South),Ngaanyatjarraku,Very Remote Australia
708,Qld,Brisbane - West,Brisbane,Inner Regional Australia
709,WA,Western Australia - Wheat Belt,Corrigin,Remote Australia
710,SA,South Australia - Outback,Anangu Pitjantjatjara Yunkunytjatjara,Very Remote Australia
711,WA,Perth - South West,Fremantle,Major Cities of Australia
712,WA,Western Australia - Wheat Belt,Toodyay,Inner Regional Australia
713,SA,South Australia - Outback,Streaky Bay,Very Remote Australia
714,Vic,Warrnambool and South West,Southern Grampians,Inner Regional Australia
715,WA,Western Australia - Wheat Belt,Victoria Plains,Outer Regional Australia
716,WA,Western Australia - Outback (South),Northampton,Remote Australia
717,WA,Bunbury,Bridgetown-Greenbushes,Outer Regional Australia
718,SA,South Australia - Outback,Kimba,Remote Australia
719,WA,Western Australia - Wheat Belt,Katanning,Outer Regional Australia
720,WA,Western Australia - Wheat Belt,Jerramungup,Remote Australia
721,WA,Western Australia - Outback (South),Carnamah,Remote Australia
722,NSW,Mid North Coast,Nambucca,Inner Regional Australia
723,WA,Western Australia - Outback (North),Ashburton,Very Remote Australia
724,WA,Western Australia - Wheat Belt,West Arthur,Outer Regional Australia
725,NSW,Riverina,Cootamundra-Gundagai,Inner Regional Australia
726,SA,South Australia - South East,Mount Gambier,Outer Regional Australia
727,WA,Perth - South East,South Perth,Major Cities of Australia
728,WA,Western Australia - Wheat Belt,Brookton,Outer Regional Australia
729,Qld,Queensland - Outback,Burke,Very Remote Australia
730,WA,Perth - Inner,Nedlands,Major Cities of Australia
731,WA,Western Australia - Wheat Belt,Gingin,Outer Regional Australia
732,WA,Perth - Inner,Stirling,Major Cities of Australia
733,SA,South Australia - Outback,Franklin Harbour,Remote Australia
734,NSW,Sydney - Northern Beaches,Northern Beaches,Inner Regional Australia
735,SA,South Australia - South East,Coorong,Inner Regional Australia
736,WA,Bunbury,Waroona,Inner Regional Australia
737,WA,Western Australia - Wheat Belt,Cunderdin,Outer Regional Australia
738,WA,Western Australia - Outback (South),Greater Geraldton,Remote Australia
739,WA,Western Australia - Wheat Belt,Lake Grace,Remote Australia
740,NSW,Illawarra,Kiama,Major Cities of Australia
741,NSW,Central West,Oberon,Inner Regional Australia
742,WA,Western Australia - Wheat Belt,Cranbrook,Outer Regional Australia
743,Tas,Launceston and North East,Break O'Day,Remote Australia
744,NT,Northern Territory - Outback,Victoria Daly,Remote Australia
745,NSW,Murray,Murrumbidgee,Outer Regional Australia
746,NSW,Sydney - Eastern Suburbs,Sydney,Major Cities of Australia
747,WA,Western Australia - Outback (South),Chapman Valley,Outer Regional Australia
748,SA,South Australia - South East,Kingston (SA),Remote Australia
749,WA,Mandurah,Mandurah,Inner Regional Australia
750,WA,Perth - South East,Kalamunda,Inner Regional Australia
751,WA,Western Australia - Wheat Belt,Kellerberrin,Outer Regional Australia
752,WA,Perth - North East,Kalamunda,Inner Regional Australia
753,Qld,Darling Downs - Maranoa,Balonne,Very Remote Australia
754,NSW,Murray,Murray River,Remote Australia
755,Vic,Ballarat,Ararat,Inner Regional Australia
756,NT,Northern Territory - Outback,Wagait,Remote Australia
757,Qld,Queensland - Outback,Weipa,Very Remote Australia
758,Vic,Melbourne - West,Wyndham,Inner Regional Australia
759,SA,Adelaide - North,Barossa,Major Cities of Australia
760,Vic,Ballarat,Pyrenees,Outer Regional Australia
761,Qld,Queensland - Outback,Pormpuraaw,Very Remote Australia
762,WA,Western Australia - Wheat Belt,Wongan-Ballidu,Outer Regional Australia
763,WA,Western Australia - Outback (North),Karratha,Very Remote Australia
764,NSW,Far West and Orana,Bourke,Very Remote Australia
765,WA,Western Australia - Wheat Belt,Murray,Inner Regional Australia
766,NSW,Central West,Bathurst Regional,Outer Regional Australia
767,Qld,Brisbane - East,Redland,Remote Australia
768,WA,Western Australia - Wheat Belt,Moora,Outer Regional Australia
769,NSW,Coffs Harbour - Grafton,Richmond Valley,Outer Regional Australia
770,NSW,Hunter Valley exc Newcastle,Upper Hunter,Inner Regional Australia
771,Vic,Hume,Unincorporated Vic,Outer Regional Australia
772,Vic,Melbourne - West,Melton,Inner Regional Australia
773,Vic,Hume,Greater Shepparton,Inner Regional Australia
774,NSW,Hunter Valley exc Newcastle,Dungog,Inner Regional Australia
775,WA,Western Australia - Wheat Belt,Chittering,Outer Regional Australia
776,Qld,Townsville,Palm Island,Remote Australia
777,NT,Northern Territory - Outback,West Daly,Very Remote Australia
778,WA,Perth - Inner,Mosman Park,Major Cities of Australia
779,WA,Western Australia - Wheat Belt,Narrogin,Outer Regional Australia
780,WA,Western Australia - Wheat Belt,Merredin,Remote Australia
781,NT,Northern Territory - Outback,Unincorporated NT,Very Remote Australia
782,WA,Western Australia - Wheat Belt,Westonia,Remote Australia
783,WA,Western Australia - Outback (South),Morawa,Remote Australia
784,WA,Perth - Inner,Claremont,Major Cities of Australia
785,WA,Western Australia - Outback (South),Mingenew,Outer Regional Australia
786,WA,Western Australia - Wheat Belt,Merredin,Outer Regional Australia
787,Qld,Wide Bay,Fraser Coast,Outer Regional Australia
788,Qld,Unknown,Unknown,Unknown
789,NSW,Sydney - Parramatta,The Hills,Major Cities of Australia
790,NSW,Sydney - South West,Liverpool,Inner Regional Australia
791,WA,Western Australia - Wheat Belt,Boddington,Outer Regional Australia
792,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Remote Australia
793,WA,Western Australia - Wheat Belt,Goomalling,Outer Regional Australia
794,WA,Perth - Inner,Subiaco,Major Cities of Australia
795,WA,Western Australia - Wheat Belt,Trayning,Remote Australia
796,WA,Bunbury,Manjimup,Remote Australia
797,Vic,Hume,Yarra Ranges,Inner Regional Australia
798,WA,Western Australia - Outback (South),Esperance,Very Remote Australia
799,SA,South Australia - Outback,Franklin Harbour,Outer Regional Australia
800,NT,Northern Territory - Outback,West Daly,Remote Australia
801,WA,Western Australia - Outback (South),Shark Bay,Very Remote Australia
802,WA,Western Australia - Outback (South),Exmouth,Very Remote Australia
803,Vic,Ballarat,Ararat,Outer Regional Australia
804,WA,Western Australia - Outback (South),Sandstone,Very Remote Australia
805,Vic,Warrnambool and South West,Surf Coast,Inner Regional Australia
806,NSW,Unknown,Unknown,Unknown
807,WA,Western Australia - Wheat Belt,Gnowangerup,Outer Regional Australia
808,WA,Bunbury,Boyup Brook,Outer Regional Australia
809,WA,Perth - Inner,Cottesloe,Major Cities of Australia
810,WA,Western Australia - Wheat Belt,Wickepin,Remote Australia
811,WA,Western Australia - Outback (South),Leonora,Very Remote Australia
812,Qld,,,Unknown
813,NSW,,,Unknown
814,SA,,,Unknown
815,Tas,,,Unknown
