State_Population_ID,State_ID,Remoteness_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,1,3,4791646,4832878,4867228,4894766,4931770,4974013,5052320,5146661,5239193,5311924,5373687,5448022,5535597,5627414,5723253,5825821,5930874,6011991,6088337,6137535,6112572,6166301,6324725
2,1,1,1309389,1321149,1330957,1337690,1346082,1354983,1369615,1384368,1400589,1416726,1428847,1440337,1453445,1465979,1478446,1492516,1509682,1527522,1543589,1559150,1571760,1586980,1602106
3,1,2,384554,382991,379956,376856,374896,374139,373071,373575,375073,376730,377270,377603,377029,377413,377496,378057,378749,379438,379860,379593,378970,380023,382007
4,1,5,34756,34075,33193,32316,31589,30974,30675,30413,30493,30491,30280,29974,29788,29496,29038,28670,28378,28076,27657,27202,26778,26549,26581
5,1,4,10004,9714,9381,9107,8869,8581,8475,8444,8407,8421,8445,8308,8173,8051,7935,7794,7633,7449,7305,7130,6982,6851,6866
6,3,3,3568891,3615482,3664438,3712279,3767630,3831302,3913364,4003972,4105203,4180341,4245304,4342955,4449062,4556850,4668901,4799835,4909349,5009197,5102070,5159031,5075096,5141424,5311624
7,3,1,951267,958509,965988,971742,978064,985563,995747,1007526,1021227,1035260,1047570,1061677,1075859,1089463,1103877,1122299,1140203,1158531,1177949,1196684,1212737,1228322,1242464
8,3,2,239267,239670,239361,239198,239709,240650,240692,241174,241875,241897,241389,242922,244278,245174,246141,247658,249714,251980,253949,256023,256701,257600,258103
9,3,5,4190,4113,4022,3930,3843,3751,3719,3703,3629,3603,3554,3537,3470,3430,3403,3380,3342,3330,3337,3308,3288,3285,3250
10,4,3,2168333,2230583,2298157,2359734,2418332,2476660,2547654,2619577,2692642,2744472,2794169,2860924,2922735,2976136,3028447,3090353,3157015,3222134,3288723,3348704,3382871,3457709,3562803
11,4,1,730727,743425,758634,776795,796250,815423,833537,852940,873705,887349,899568,914619,928843,938578,944134,949508,960334,972419,984906,996676,1009523,1029629,1050895
12,4,2,540365,547833,555971,564106,574950,587448,600142,615575,629800,639106,647865,657988,666628,671989,674454,677250,681922,685578,689119,694107,697295,707116,719325
13,4,5,75356,74777,74455,74175,74214,74347,74928,75901,76492,76972,77650,77885,77763,76677,75385,73673,73047,72606,72278,72553,72578,72789,73221
14,4,4,56688,56505,55904,55160,54748,54114,54757,55512,56132,56845,57526,57271,56855,56273,55272,54368,54062,53886,53821,53573,53547,53698,54176
15,5,3,1111526,1118045,1124845,1130943,1139403,1151099,1165575,1180478,1197857,1213018,1223828,1237397,1249202,1261432,1272600,1283033,1297031,1312026,1330316,1349946,1358462,1374074,1401213
16,5,1,136106,138234,140256,142355,144382,145989,148545,151214,153490,156058,157818,159840,161871,163872,165816,167624,169202,171108,173244,175799,178509,180969,183812
17,5,2,196901,197108,197279,197109,197585,198009,198614,198672,198898,199214,198779,200233,201262,202592,203332,203668,203940,204354,205060,205729,206496,206852,207572
18,5,5,41114,41418,41645,41777,41866,42183,42490,42800,43035,43226,43352,43543,43596,43655,43733,43594,43742,43969,44171,44387,44741,44983,45274
19,5,4,17814,16762,16374,16005,15568,15249,15395,15501,15622,15806,15837,15712,15557,15394,15187,14924,14758,14680,14604,14494,14393,14337,14413
20,6,3,1437203,1455853,1476752,1500508,1524508,1555749,1606740,1660302,1716140,1757420,1809287,1867607,1917819,1947385,1971785,1991389,2018206,2047420,2085159,2132067,2161813,2197476,2277497
21,6,1,159949,161820,163586,166350,171902,176736,179328,185099,191118,195912,200613,207506,213784,217425,219940,221221,224372,227464,230977,234924,239254,243296,248952
22,6,2,171065,171429,171833,171146,172085,173369,173613,176083,178639,179794,181588,184985,187484,187682,186955,185186,186155,186634,187379,189079,190945,192434,194231
23,6,5,79290,80319,81529,82110,82701,83585,83264,84017,85191,86092,87443,89268,90974,90292,89313,87895,88119,88571,89487,90760,91798,92748,93840
24,6,4,58767,59091,59041,59428,60011,61142,63194,66199,69162,71627,74478,76141,76883,74824,72679,70287,68868,67703,66623,66082,65555,65840,66707
25,2,1,282992,283674,286591,289490,291601,293579,296348,299743,303554,306918,309148,310289,311772,313784,315978,318600,325589,333058,340289,346293,351572,353575,354754
26,2,2,179220,179159,180668,182466,183349,184510,185673,187573,189621,190819,191435,190655,189885,189421,188792,188598,190750,193623,196755,200318,204477,206240,207149
27,2,5,8819,8702,8648,8612,8638,8602,8657,8695,8657,8615,8454,8329,8110,7934,7848,7783,7884,8042,8213,8391,8600,8630,8672
28,2,4,2637,2617,2627,2610,2614,2611,2584,2557,2521,2495,2446,2451,2464,2482,2499,2533,2539,2568,2584,2576,2590,2606,2581
29,8,2,108280,108679,108433,109211,111388,113461,116935,121210,125315,127829,129106,133105,138471,141169,144914,147102,148752,148273,147251,147673,147971,149154,150736
30,8,5,47012,47087,47115,47198,47488,47945,48747,49959,51261,52130,52490,52736,52860,52103,51373,50852,51052,51248,51539,51881,52193,52766,53175
31,8,4,46451,46485,46177,46254,47029,47651,48066,48705,49451,49819,49696,50074,50391,49622,48405,47724,47608,47574,47769,47874,47987,48308,48618
32,7,3,321033,324128,326876,328469,330940,334724,342199,347920,354314,361241,367426,375948,382639,388157,395156,402445,414385,425419,435064,444235,451823,456228,465881
33,7,1,505,499,481,471,459,446,445,448,471,525,559,591,618,642,657,659,661,662,666,668,685,687,685