1989,1,January,1989-01,1,1989-Q1
1989,2,February,1989-02,1,1989-Q1
1989,3,March,1989-03,1,1989-Q1
1989,4,April,1989-04,2,1989-Q2
1989,5,May,1989-05,2,1989-Q2
1989,6,June,1989-06,2,1989-Q2
1989,7,July,1989-07,3,1989-Q3
1989,8,August,1989-08,3,1989-Q3
1989,9,September,1989-09,3,1989-Q3
1989,10,October,1989-10,4,1989-Q4
1989,11,November,1989-11,4,1989-Q4
1989,12,December,1989-12,4,1989-Q4
1990,1,January,1990-01,1,1990-Q1
1990,2,February,1990-02,1,1990-Q1
1990,3,March,1990-03,1,1990-Q1
1990,4,April,1990-04,2,1990-Q2
1990,5,May,1990-05,2,1990-Q2
1990,6,June,1990-06,2,1990-Q2
1990,7,July,1990-07,3,1990-Q3
1990,8,August,1990-08,3,1990-Q3
1990,9,September,1990-09,3,1990-Q3
1990,10,October,1990-10,4,1990-Q4
1990,11,November,1990-11,4,1990-Q4
1990,12,December,1990-12,4,1990-Q4
1991,1,January,1991-01,1,1991-Q1
1991,2,February,1991-02,1,1991-Q1
1991,3,March,1991-03,1,1991-Q1
1991,4,April,1991-04,2,1991-Q2
1991,5,May,1991-05,2,1991-Q2
1991,6,June,1991-06,2,1991-Q2
1991,7,July,1991-07,3,1991-Q3
1991,8,August,1991-08,3,1991-Q3
1991,9,September,1991-09,3,1991-Q3
1991,10,October,1991-10,4,1991-Q4
1991,11,November,1991-11,4,1991-Q4
1991,12,December,1991-12,4,1991-Q4
1992,1,January,1992-01,1,1992-Q1
1992,2,February,1992-02,1,1992-Q1
1992,3,March,1992-03,1,1992-Q1
1992,4,April,1992-04,2,1992-Q2
1992,5,May,1992-05,2,1992-Q2
1992,6,June,1992-06,2,1992-Q2
1992,7,July,1992-07,3,1992-Q3
1992,8,August,1992-08,3,1992-Q3
1992,9,September,1992-09,3,1992-Q3
1992,10,October,1992-10,4,1992-Q4
1992,11,November,1992-11,4,1992-Q4
1992,12,December,1992-12,4,1992-Q4
1993,1,January,1993-01,1,1993-Q1
1993,2,February,1993-02,1,1993-Q1
1993,3,March,1993-03,1,1993-Q1
1993,4,April,1993-04,2,1993-Q2
1993,5,May,1993-05,2,1993-Q2
1993,6,June,1993-06,2,1993-Q2
1993,7,July,1993-07,3,1993-Q3
1993,8,August,1993-08,3,1993-Q3
1993,9,September,1993-09,3,1993-Q3
1993,10,October,1993-10,4,1993-Q4
1993,11,November,1993-11,4,1993-Q4
1993,12,December,1993-12,4,1993-Q4
1994,1,January,1994-01,1,1994-Q1
1994,2,February,1994-02,1,1994-Q1
1994,3,March,1994-03,1,1994-Q1
1994,4,April,1994-04,2,1994-Q2
1994,5,May,1994-05,2,1994-Q2
1994,6,June,1994-06,2,1994-Q2
1994,7,July,1994-07,3,1994-Q3
1994,8,August,1994-08,3,1994-Q3
1994,9,September,1994-09,3,1994-Q3
1994,10,October,1994-10,4,1994-Q4
1994,11,November,1994-11,4,1994-Q4
1994,12,December,1994-12,4,1994-Q4
1995,1,January,1995-01,1,1995-Q1
1995,2,February,1995-02,1,1995-Q1
1995,3,March,1995-03,1,1995-Q1
1995,4,April,1995-04,2,1995-Q2
1995,5,May,1995-05,2,1995-Q2
1995,6,June,1995-06,2,1995-Q2
1995,7,July,1995-07,3,1995-Q3
1995,8,August,1995-08,3,1995-Q3
1995,9,September,1995-09,3,1995-Q3
1995,10,October,1995-10,4,1995-Q4
1995,11,November,1995-11,4,1995-Q4
1995,12,December,1995-12,4,1995-Q4
1996,1,January,1996-01,1,1996-Q1
1996,2,February,1996-02,1,1996-Q1
1996,3,March,1996-03,1,1996-Q1
1996,4,April,1996-04,2,1996-Q2
1996,5,May,1996-05,2,1996-Q2
1996,6,June,1996-06,2,1996-Q2
1996,7,July,1996-07,3,1996-Q3
1996,8,August,1996-08,3,1996-Q3
1996,9,September,1996-09,3,1996-Q3
1996,10,October,1996-10,4,1996-Q4
1996,11,November,1996-11,4,1996-Q4
1996,12,December,1996-12,4,1996-Q4
1997,1,January,1997-01,1,1997-Q1
1997,2,February,1997-02,1,1997-Q1
1997,3,March,1997-03,1,1997-Q1
1997,4,April,1997-04,2,1997-Q2
1997,5,May,1997-05,2,1997-Q2
1997,6,June,1997-06,2,1997-Q2
1997,7,July,1997-07,3,1997-Q3
1997,8,August,1997-08,3,1997-Q3
1997,9,September,1997-09,3,1997-Q3
1997,10,October,1997-10,4,1997-Q4
1997,11,November,1997-11,4,1997-Q4
1997,12,December,1997-12,4,1997-Q4
1998,1,January,1998-01,1,1998-Q1
1998,2,February,1998-02,1,1998-Q1
1998,3,March,1998-03,1,1998-Q1
1998,4,April,1998-04,2,1998-Q2
1998,5,May,1998-05,2,1998-Q2
1998,6,June,1998-06,2,1998-Q2
1998,7,July,1998-07,3,1998-Q3
1998,8,August,1998-08,3,1998-Q3
1998,9,September,1998-09,3,1998-Q3
1998,10,October,1998-10,4,1998-Q4
1998,11,November,1998-11,4,1998-Q4
1998,12,December,1998-12,4,1998-Q4
1999,1,January,1999-01,1,1999-Q1
1999,2,February,1999-02,1,1999-Q1
1999,3,March,1999-03,1,1999-Q1
1999,4,April,1999-04,2,1999-Q2
1999,5,May,1999-05,2,1999-Q2
1999,6,June,1999-06,2,1999-Q2
1999,7,July,1999-07,3,1999-Q3
1999,8,August,1999-08,3,1999-Q3
1999,9,September,1999-09,3,1999-Q3
1999,10,October,1999-10,4,1999-Q4
1999,11,November,1999-11,4,1999-Q4
1999,12,December,1999-12,4,1999-Q4
2000,1,January,2000-01,1,2000-Q1
2000,2,February,2000-02,1,2000-Q1
2000,3,March,2000-03,1,2000-Q1
2000,4,April,2000-04,2,2000-Q2
2000,5,May,2000-05,2,2000-Q2
2000,6,June,2000-06,2,2000-Q2
2000,7,July,2000-07,3,2000-Q3
2000,8,August,2000-08,3,2000-Q3
2000,9,September,2000-09,3,2000-Q3
2000,10,October,2000-10,4,2000-Q4
2000,11,November,2000-11,4,2000-Q4
2000,12,December,2000-12,4,2000-Q4
2001,1,January,2001-01,1,2001-Q1
2001,2,February,2001-02,1,2001-Q1
2001,3,March,2001-03,1,2001-Q1
2001,4,April,2001-04,2,2001-Q2
2001,5,May,2001-05,2,2001-Q2
2001,6,June,2001-06,2,2001-Q2
2001,7,July,2001-07,3,2001-Q3
2001,8,August,2001-08,3,2001-Q3
2001,9,September,2001-09,3,2001-Q3
2001,10,October,2001-10,4,2001-Q4
2001,11,November,2001-11,4,2001-Q4
2001,12,December,2001-12,4,2001-Q4
2002,1,January,2002-01,1,2002-Q1
2002,2,February,2002-02,1,2002-Q1
2002,3,March,2002-03,1,2002-Q1
2002,4,April,2002-04,2,2002-Q2
2002,5,May,2002-05,2,2002-Q2
2002,6,June,2002-06,2,2002-Q2
2002,7,July,2002-07,3,2002-Q3
2002,8,August,2002-08,3,2002-Q3
2002,9,September,2002-09,3,2002-Q3
2002,10,October,2002-10,4,2002-Q4
2002,11,November,2002-11,4,2002-Q4
2002,12,December,2002-12,4,2002-Q4
2003,1,January,2003-01,1,2003-Q1
2003,2,February,2003-02,1,2003-Q1
2003,3,March,2003-03,1,2003-Q1
2003,4,April,2003-04,2,2003-Q2
2003,5,May,2003-05,2,2003-Q2
2003,6,June,2003-06,2,2003-Q2
2003,7,July,2003-07,3,2003-Q3
2003,8,August,2003-08,3,2003-Q3
2003,9,September,2003-09,3,2003-Q3
2003,10,October,2003-10,4,2003-Q4
2003,11,November,2003-11,4,2003-Q4
2003,12,December,2003-12,4,2003-Q4
2004,1,January,2004-01,1,2004-Q1
2004,2,February,2004-02,1,2004-Q1
2004,3,March,2004-03,1,2004-Q1
2004,4,April,2004-04,2,2004-Q2
2004,5,May,2004-05,2,2004-Q2
2004,6,June,2004-06,2,2004-Q2
2004,7,July,2004-07,3,2004-Q3
2004,8,August,2004-08,3,2004-Q3
2004,9,September,2004-09,3,2004-Q3
2004,10,October,2004-10,4,2004-Q4
2004,11,November,2004-11,4,2004-Q4
2004,12,December,2004-12,4,2004-Q4
2005,1,January,2005-01,1,2005-Q1
2005,2,February,2005-02,1,2005-Q1
2005,3,March,2005-03,1,2005-Q1
2005,4,April,2005-04,2,2005-Q2
2005,5,May,2005-05,2,2005-Q2
2005,6,June,2005-06,2,2005-Q2
2005,7,July,2005-07,3,2005-Q3
2005,8,August,2005-08,3,2005-Q3
2005,9,September,2005-09,3,2005-Q3
2005,10,October,2005-10,4,2005-Q4
2005,11,November,2005-11,4,2005-Q4
2005,12,December,2005-12,4,2005-Q4
2006,1,January,2006-01,1,2006-Q1
2006,2,February,2006-02,1,2006-Q1
2006,3,March,2006-03,1,2006-Q1
2006,4,April,2006-04,2,2006-Q2
2006,5,May,2006-05,2,2006-Q2
2006,6,June,2006-06,2,2006-Q2
2006,7,July,2006-07,3,2006-Q3
2006,8,August,2006-08,3,2006-Q3
2006,9,September,2006-09,3,2006-Q3
2006,10,October,2006-10,4,2006-Q4
2006,11,November,2006-11,4,2006-Q4
2006,12,December,2006-12,4,2006-Q4
2007,1,January,2007-01,1,2007-Q1
2007,2,February,2007-02,1,2007-Q1
2007,3,March,2007-03,1,2007-Q1
2007,4,April,2007-04,2,2007-Q2
2007,5,May,2007-05,2,2007-Q2
2007,6,June,2007-06,2,2007-Q2
2007,7,July,2007-07,3,2007-Q3
2007,8,August,2007-08,3,2007-Q3
2007,9,September,2007-09,3,2007-Q3
2007,10,October,2007-10,4,2007-Q4
2007,11,November,2007-11,4,2007-Q4
2007,12,December,2007-12,4,2007-Q4
2008,1,January,2008-01,1,2008-Q1
2008,2,February,2008-02,1,2008-Q1
2008,3,March,2008-03,1,2008-Q1
2008,4,April,2008-04,2,2008-Q2
2008,5,May,2008-05,2,2008-Q2
2008,6,June,2008-06,2,2008-Q2
2008,7,July,2008-07,3,2008-Q3
2008,8,August,2008-08,3,2008-Q3
2008,9,September,2008-09,3,2008-Q3
2008,10,October,2008-10,4,2008-Q4
2008,11,November,2008-11,4,2008-Q4
2008,12,December,2008-12,4,2008-Q4
2009,1,January,2009-01,1,2009-Q1
2009,2,February,2009-02,1,2009-Q1
2009,3,March,2009-03,1,2009-Q1
2009,4,April,2009-04,2,2009-Q2
2009,5,May,2009-05,2,2009-Q2
2009,6,June,2009-06,2,2009-Q2
2009,7,July,2009-07,3,2009-Q3
2009,8,August,2009-08,3,2009-Q3
2009,9,September,2009-09,3,2009-Q3
2009,10,October,2009-10,4,2009-Q4
2009,11,November,2009-11,4,2009-Q4
2009,12,December,2009-12,4,2009-Q4
2010,1,January,2010-01,1,2010-Q1
2010,2,February,2010-02,1,2010-Q1
2010,3,March,2010-03,1,2010-Q1
2010,4,April,2010-04,2,2010-Q2
2010,5,May,2010-05,2,2010-Q2
2010,6,June,2010-06,2,2010-Q2
2010,7,July,2010-07,3,2010-Q3
2010,8,August,2010-08,3,2010-Q3
2010,9,September,2010-09,3,2010-Q3
2010,10,October,2010-10,4,2010-Q4
2010,11,November,2010-11,4,2010-Q4
2010,12,December,2010-12,4,2010-Q4
2011,1,January,2011-01,1,2011-Q1
2011,2,February,2011-02,1,2011-Q1
2011,3,March,2011-03,1,2011-Q1
2011,4,April,2011-04,2,2011-Q2
2011,5,May,2011-05,2,2011-Q2
2011,6,June,2011-06,2,2011-Q2
2011,7,July,2011-07,3,2011-Q3
2011,8,August,2011-08,3,2011-Q3
2011,9,September,2011-09,3,2011-Q3
2011,10,October,2011-10,4,2011-Q4
2011,11,November,2011-11,4,2011-Q4
2011,12,December,2011-12,4,2011-Q4
2012,1,January,2012-01,1,2012-Q1
2012,2,February,2012-02,1,2012-Q1
2012,3,March,2012-03,1,2012-Q1
2012,4,April,2012-04,2,2012-Q2
2012,5,May,2012-05,2,2012-Q2
2012,6,June,2012-06,2,2012-Q2
2012,7,July,2012-07,3,2012-Q3
2012,8,August,2012-08,3,2012-Q3
2012,9,September,2012-09,3,2012-Q3
2012,10,October,2012-10,4,2012-Q4
2012,11,November,2012-11,4,2012-Q4
2012,12,December,2012-12,4,2012-Q4
2013,1,January,2013-01,1,2013-Q1
2013,2,February,2013-02,1,2013-Q1
2013,3,March,2013-03,1,2013-Q1
2013,4,April,2013-04,2,2013-Q2
2013,5,May,2013-05,2,2013-Q2
2013,6,June,2013-06,2,2013-Q2
2013,7,July,2013-07,3,2013-Q3
2013,8,August,2013-08,3,2013-Q3
2013,9,September,2013-09,3,2013-Q3
2013,10,October,2013-10,4,2013-Q4
2013,11,November,2013-11,4,2013-Q4
2013,12,December,2013-12,4,2013-Q4
2014,1,January,2014-01,1,2014-Q1
2014,2,February,2014-02,1,2014-Q1
2014,3,March,2014-03,1,2014-Q1
2014,4,April,2014-04,2,2014-Q2
2014,5,May,2014-05,2,2014-Q2
2014,6,June,2014-06,2,2014-Q2
2014,7,July,2014-07,3,2014-Q3
2014,8,August,2014-08,3,2014-Q3
2014,9,September,2014-09,3,2014-Q3
2014,10,October,2014-10,4,2014-Q4
2014,11,November,2014-11,4,2014-Q4
2014,12,December,2014-12,4,2014-Q4
2015,1,January,2015-01,1,2015-Q1
2015,2,February,2015-02,1,2015-Q1
2015,3,March,2015-03,1,2015-Q1
2015,4,April,2015-04,2,2015-Q2
2015,5,May,2015-05,2,2015-Q2
2015,6,June,2015-06,2,2015-Q2
2015,7,July,2015-07,3,2015-Q3
2015,8,August,2015-08,3,2015-Q3
2015,9,September,2015-09,3,2015-Q3
2015,10,October,2015-10,4,2015-Q4
2015,11,November,2015-11,4,2015-Q4
2015,12,December,2015-12,4,2015-Q4
2016,1,January,2016-01,1,2016-Q1
2016,2,February,2016-02,1,2016-Q1
2016,3,March,2016-03,1,2016-Q1
2016,4,April,2016-04,2,2016-Q2
2016,5,May,2016-05,2,2016-Q2
2016,6,June,2016-06,2,2016-Q2
2016,7,July,2016-07,3,2016-Q3
2016,8,August,2016-08,3,2016-Q3
2016,9,September,2016-09,3,2016-Q3
2016,10,October,2016-10,4,2016-Q4
2016,11,November,2016-11,4,2016-Q4
2016,12,December,2016-12,4,2016-Q4
2017,1,January,2017-01,1,2017-Q1
2017,2,February,2017-02,1,2017-Q1
2017,3,March,2017-03,1,2017-Q1
2017,4,April,2017-04,2,2017-Q2
2017,5,May,2017-05,2,2017-Q2
2017,6,June,2017-06,2,2017-Q2
2017,7,July,2017-07,3,2017-Q3
2017,8,August,2017-08,3,2017-Q3
2017,9,September,2017-09,3,2017-Q3
2017,10,October,2017-10,4,2017-Q4
2017,11,November,2017-11,4,2017-Q4
2017,12,December,2017-12,4,2017-Q4
2018,1,January,2018-01,1,2018-Q1
2018,2,February,2018-02,1,2018-Q1
2018,3,March,2018-03,1,2018-Q1
2018,4,April,2018-04,2,2018-Q2
2018,5,May,2018-05,2,2018-Q2
2018,6,June,2018-06,2,2018-Q2
2018,7,July,2018-07,3,2018-Q3
2018,8,August,2018-08,3,2018-Q3
2018,9,September,2018-09,3,2018-Q3
2018,10,October,2018-10,4,2018-Q4
2018,11,November,2018-11,4,2018-Q4
2018,12,December,2018-12,4,2018-Q4
2019,1,January,2019-01,1,2019-Q1
2019,2,February,2019-02,1,2019-Q1
2019,3,March,2019-03,1,2019-Q1
2019,4,April,2019-04,2,2019-Q2
2019,5,May,2019-05,2,2019-Q2
2019,6,June,2019-06,2,2019-Q2
2019,7,July,2019-07,3,2019-Q3
2019,8,August,2019-08,3,2019-Q3
2019,9,September,2019-09,3,2019-Q3
2019,10,October,2019-10,4,2019-Q4
2019,11,November,2019-11,4,2019-Q4
2019,12,December,2019-12,4,2019-Q4
2020,1,January,2020-01,1,2020-Q1
2020,2,February,2020-02,1,2020-Q1
2020,3,March,2020-03,1,2020-Q1
2020,4,April,2020-04,2,2020-Q2
2020,5,May,2020-05,2,2020-Q2
2020,6,June,2020-06,2,2020-Q2
2020,7,July,2020-07,3,2020-Q3
2020,8,August,2020-08,3,2020-Q3
2020,9,September,2020-09,3,2020-Q3
2020,10,October,2020-10,4,2020-Q4
2020,11,November,2020-11,4,2020-Q4
2020,12,December,2020-12,4,2020-Q4
2021,1,January,2021-01,1,2021-Q1
2021,2,February,2021-02,1,2021-Q1
2021,3,March,2021-03,1,2021-Q1
2021,4,April,2021-04,2,2021-Q2
2021,5,May,2021-05,2,2021-Q2
2021,6,June,2021-06,2,2021-Q2
2021,7,July,2021-07,3,2021-Q3
2021,8,August,2021-08,3,2021-Q3
2021,9,September,2021-09,3,2021-Q3
2021,10,October,2021-10,4,2021-Q4
2021,11,November,2021-11,4,2021-Q4
2021,12,December,2021-12,4,2021-Q4
2022,1,January,2022-01,1,2022-Q1
2022,2,February,2022-02,1,2022-Q1
2022,3,March,2022-03,1,2022-Q1
2022,4,April,2022-04,2,2022-Q2
2022,5,May,2022-05,2,2022-Q2
2022,6,June,2022-06,2,2022-Q2
2022,7,July,2022-07,3,2022-Q3
2022,8,August,2022-08,3,2022-Q3
2022,9,September,2022-09,3,2022-Q3
2022,10,October,2022-10,4,2022-Q4
2022,11,November,2022-11,4,2022-Q4
2022,12,December,2022-12,4,2022-Q4
2023,1,January,2023-01,1,2023-Q1
2023,2,February,2023-02,1,2023-Q1
2023,3,March,2023-03,1,2023-Q1
2023,4,April,2023-04,2,2023-Q2
2023,5,May,2023-05,2,2023-Q2
2023,6,June,2023-06,2,2023-Q2
2023,7,July,2023-07,3,2023-Q3
2023,8,August,2023-08,3,2023-Q3
2023,9,September,2023-09,3,2023-Q3
2023,10,October,2023-10,4,2023-Q4
2023,11,November,2023-11,4,2023-Q4
2023,12,December,2023-12,4,2023-Q4
2024,1,January,2024-01,1,2024-Q1
2024,2,February,2024-02,1,2024-Q1
2024,3,March,2024-03,1,2024-Q1
2024,4,April,2024-04,2,2024-Q2
2024,5,May,2024-05,2,2024-Q2
2024,6,June,2024-06,2,2024-Q2
2024,7,July,2024-07,3,2024-Q3
2024,8,August,2024-08,3,2024-Q3
2024,9,September,2024-09,3,2024-Q3
2024,10,October,2024-10,4,2024-Q4
2024,11,November,2024-11,4,2024-Q4
2024,12,December,2024-12,4,2024-Q4
